time,value
2014-11-12T00:00:00,11.296875
2014-11-12T00:05:00,11.28125
2014-11-12T00:10:00,11.265625
2014-11-12T00:15:00,11.25
2014-11-12T00:20:00,11.1875
2014-11-12T00:25:00,11.1875
2014-11-12T00:30:00,11.1875
2014-11-12T00:35:00,11.234375
2014-11-12T00:40:00,11.203125
2014-11-12T00:45:00,11.171875
2014-11-12T00:50:00,11.15625
2014-11-12T00:55:00,11.15625
2014-11-12T01:00:00,11.140625
2014-11-12T01:05:00,11.15625
2014-11-12T01:10:00,11.09375
2014-11-12T01:15:00,11.09375
2014-11-12T01:20:00,11.125
2014-11-12T01:25:00,11.078125
2014-11-12T01:30:00,11.109375
2014-11-12T01:35:00,11.09375
2014-11-12T01:40:00,11.09375
2014-11-12T01:45:00,11.078125
2014-11-12T01:50:00,11.046875
2014-11-12T01:55:00,11.03125
2014-11-12T02:00:00,11.046875
2014-11-12T02:05:00,11.015625
2014-11-12T02:10:00,11.0
2014-11-12T02:15:00,10.96875
2014-11-12T02:20:00,10.96875
2014-11-12T02:25:00,10.984375
2014-11-12T02:30:00,10.953125
2014-11-12T02:35:00,10.953125
2014-11-12T02:40:00,10.953125
2014-11-12T02:45:00,10.90625
2014-11-12T02:50:00,10.90625
2014-11-12T02:55:00,10.90625
2014-11-12T03:00:00,10.875
2014-11-12T03:05:00,10.875
2014-11-12T03:10:00,10.828125
2014-11-12T03:15:00,10.859375
2014-11-12T03:20:00,10.828125
2014-11-12T03:25:00,10.8125
2014-11-12T03:30:00,10.796875
2014-11-12T03:35:00,10.796875
2014-11-12T03:40:00,10.78125
2014-11-12T03:45:00,10.78125
2014-11-12T03:50:00,10.765625
2014-11-12T03:55:00,10.75
2014-11-12T04:00:00,10.734375
2014-11-12T04:05:00,10.734375
2014-11-12T04:10:00,10.703125
2014-11-12T04:15:00,10.71875
2014-11-12T04:20:00,10.703125
2014-11-12T04:25:00,10.703125
2014-11-12T04:30:00,10.671875
2014-11-12T04:35:00,10.65625
2014-11-12T04:40:00,10.65625
2014-11-12T04:45:00,10.671875
2014-11-12T04:50:00,10.640625
2014-11-12T04:55:00,10.625
2014-11-12T05:00:00,10.625
2014-11-12T05:05:00,10.625
2014-11-12T05:10:00,10.609375
2014-11-12T05:15:00,10.59375
2014-11-12T05:20:00,10.578125
2014-11-12T05:25:00,10.5625
